0,repeatable,0,,,"633,518,656,517,678,517,678,548,633,548"
1,repeatable,1,,2,"632,514,575,471,571,466,571,465,589,442,595,436,596,436,637,468,652,480,656,484,656,486,638,510,634,514"
2,repeatable,1,1,,"586,479,555,454,549,448,549,446,556,437,565,427,573,419,574,419,606,445,610,449,610,451,592,475,588,479"
3,repeatable,2,,4,"477,432,477,413,478,392,510,392,543,393,543,413,541,434,510,434"
4,repeatable,2,3,5,"397,413,398,394,431,394,464,395,464,413,463,431,397,431"
5,repeatable,2,4,6,"352,413,353,395,419,395,419,413,418,431,352,431"
6,fixed,"2,3",5,7,"308,391,374,391,375,409,375,427,368,434,357,443,339,458,336,460,308,460"
7,repeatable,3,6,8,"313,428,327,428,340,429,342,488,342,543,313,543"
8,fixed,"3,4",7,9,"308,511,321,511,335,512,374,532,374,583,308,583"
9,repeatable,4,8,10,"354,528,403,528,403,581,354,581"
10,repeatable,4,9,11,"378,583,378,550,380,516,479,516,479,585,429,585"
11,repeatable,4,10,12,"496,580,496,553,497,524,538,524,580,526,580,553,578,581,538,581"
12,repeatable,4,11,,"551,580,551,525,644,525,644,553,643,582,598,582"
